,,
group,word,fix_time
P1,Drewno,0.75831225528373924
P1,Drewno,1.021134984096451
P1,Drewno,0.76367771080970925
P1,Wypoczynek,1.2878276462876461
P1,Drewno,0.73009606923379877
P1,Drewno,1.2544987716508893
P1,Drewno,1.2039638921721503
P1,Odprężenie,1.4016726047524697
P1,Drewno,0.76723196574933161
P1,Drewno,1.0849232376873859
P1,Drewno,1.1011019189002982
P1,Drewno,1.1638688189899735
P1,Uspokojenie,1.3640666844397682
P1,Drewno,0.5756343804905999
P1,Drewno,0.74402495302707716
P1,Wyzdrowienie,0.97727486027780053
P1,Drewno,1.2369858236583577
P1,Drewno,0.84267919213170384
P1,Ulga,1.1531695675421894
P1,Drewno,1.4830849278545031
P1,Drewno,0.68079889787343018
P1,Drewno,0.88735987854390075
P1,Drewno,0.96778186047189063
