,ID,number,1_level_up,1_level_down,1_level_left,1_level_right,1_time,2_level_up,2_level_down,2_level_left,2_level_right,2_time,3_level_up,3_level_down,3_level_left,3_level_right,3_time,4_level_up,4_level_down,4_level_left,4_level_right,4_time,5_level_up,5_level_down,5_level_left,5_level_right,5_time,6_level_up,6_level_down,6_level_left,6_level_right,6_time,7_level_up,7_level_down,7_level_left,7_level_right,7_time,8_level_up,8_level_down,8_level_left,8_level_right,8_time,9_level_up,9_level_down,9_level_left,9_level_right,9_time,10_level_up,10_level_down,10_level_left,10_level_right,10_time,11_level_up,11_level_down,11_level_left,11_level_right,11_time,12_level_up,12_level_down,12_level_left,12_level_right,12_time
10,DW25,6,73.7048192771,43.7048192771,78.7048192771,83.7048192771,2015-03-12_15-31-34,77.5903614458,52.5903614458,92.5903614458,87.5903614458,2015-03-13_10-39-52,95.3012048193,65.3012048193,90.3012048193,95.3012048193,2015-03-16_09-57-26,92.6506024096,72.6506024096,92.6506024096,92.6506024096,2015-03-18_09-56-35,89.4578313253,54.4578313253,89.4578313253,89.4578313253,2015-03-20_10-32-44,90,55,90,90,2015-03-20_10-41-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,IZ29,5,78.9759036145,68.9759036145,88.9759036145,98.9759036145,2015-03-24_11-40-53,92.5,62.5,102.5,97.5,2015-03-27_12-11-55,100.1204819277,75.1204819277,100.1204819277,105.1204819277,2015-03-30_11-11-46,77.7409638554,97.7409638554,97.7409638554,92.7409638554,2015-03-30_15-36-47,105,100,100,100,2015-03-31_14-38-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BB21,3,76.5963855422,56.5963855422,101.5963855422,86.5963855422,2015-03-26_19-07-39,96.3855421687,66.3855421687,106.3855421687,91.3855421687,2015-03-27_19-17-32,100,80,95,90,2015-03-31_19-48-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,KJ24,3,87.4096385542,82.4096385542,92.4096385542,92.4096385542,2015-03-27_13-11-05,88.2831325301,108.2831325301,98.2831325301,98.2831325301,2015-03-28_14-15-54,90,100,100,100,2015-03-31_12-21-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,JT41,3,97.3192771084,82.3192771084,82.3192771084,102.3192771084,2015-04-02_10-37-44,88.2831325301,88.2831325301,108.2831325301,83.2831325301,2015-04-03_10-37-31,85,100,95,95,2015-04-08_17-19-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,TI29,5,89.7891566265,79.7891566265,89.7891566265,99.7891566265,2015-04-03_12-38-19,78.4036144578,93.4036144578,83.4036144578,93.4036144578,2015-04-08_15-57-20,106.656626506,76.656626506,101.656626506,86.656626506,2015-04-09_14-55-30,109.0060240964,89.0060240964,109.0060240964,94.0060240964,2015-04-10_11-37-47,110,85,105,105,2015-04-13_17-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AM33,1,90.6024096386,30.6024096386,100.6024096386,100.6024096386,2015-04-10_09-31-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,WS12,5,79.6987951807,54.6987951807,94.6987951807,89.6987951807,2015-07-09_17-11-09,92.2289156627,67.2289156627,82.2289156627,82.2289156627,2015-07-10_14-37-57,90.03012048192771,85.03012048192771,90.03012048192771,85.03012048192771,2015-07-11_11-48-37,88.28313253012048,58.28313253012048,98.28313253012048,108.28313253012048,2015-07-11_18-30-47,75.0,80.0,95.0,95.0,2015-07-12_13-32-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WB78,4,86.144578313253,61.144578313253014,91.144578313253,81.144578313253,2015-07-10_20-46-56,89.75903614457832,79.75903614457832,99.75903614457832,84.75903614457832,2015-07-13_20-40-42,107.65060240963855,82.65060240963855,107.65060240963855,97.65060240963855,2015-07-14_20-33-51,90.0,90.0,105.0,95.0,2015-07-15_20-03-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,EB56,6,93.70481927710843,48.704819277108435,93.70481927710843,88.70481927710843,2015-07-10_20-52-43,82.13855421686748,72.13855421686748,92.13855421686748,92.13855421686748,2015-07-13_20-47-31,89.75903614457832,89.75903614457832,94.75903614457832,94.75903614457832,2015-07-14_20-41-12,100.75301204819277,90.75301204819277,105.75301204819277,95.75301204819277,2015-07-15_20-01-49,102.92168674698794,92.92168674698794,107.92168674698794,97.92168674698794,2015-07-15_20-33-09,95.0,85.0,100.0,90.0,2015-07-15_21-12-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,DJ97,9,69.60843373493975,79.60843373493975,79.60843373493975,79.60843373493975,2015-07-11_15-13-38,102.2289156626506,72.2289156626506,92.2289156626506,92.2289156626506,2015-07-12_18-51-59,89.12650602409639,84.12650602409639,94.12650602409639,89.12650602409639,2015-07-13_18-51-22,85.8433734939759,90.8433734939759,100.8433734939759,95.8433734939759,2015-07-14_18-07-08,92.56024096385542,87.56024096385542,97.56024096385542,107.56024096385542,2015-07-15_18-51-08,94.27710843373494,89.27710843373494,99.27710843373494,94.27710843373494,2015-07-16_11-28-02,102.65060240963855,97.65060240963855,102.65060240963855,92.65060240963855,2015-07-16_17-56-23,104.54819277108433,99.54819277108433,104.54819277108433,94.54819277108433,2015-07-16_18-00-51,105.0,100.0,105.0,95.0,2015-07-16_18-09-12,,,,,,,,,,,,,,,
21,ZA90,7,69.87951807228916,89.87951807228916,99.87951807228916,94.87951807228916,2015-07-11_20-17-10,79.96987951807229,89.96987951807229,99.96987951807229,89.96987951807229,2015-07-12_17-56-57,82.86144578313252,92.86144578313252,102.86144578313252,92.86144578313252,2015-07-12_18-21-24,74.93975903614458,99.93975903614458,94.93975903614458,94.93975903614458,2015-07-13_18-07-39,107.37951807228916,97.37951807228916,107.37951807228916,107.37951807228916,2015-07-14_18-14-42,109.4578313253012,109.4578313253012,109.4578313253012,109.4578313253012,2015-07-15_17-38-29,100.0,110.0,110.0,110.0,2015-07-17_17-21-31,,,,,,,,,,,,,,,,,,,,,,,,,
22,WK88,4,80.69277108433735,60.69277108433735,90.69277108433735,80.69277108433735,2015-07-12_11-04-08,95.21084337349397,65.21084337349397,95.21084337349397,95.21084337349397,2015-07-13_16-19-35,108.91566265060241,78.91566265060241,108.91566265060241,93.91566265060241,2015-07-14_16-23-35,85.0,85.0,105.0,95.0,2015-07-15_16-00-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,TD78,3,85.78313253012048,40.78313253012048,90.78313253012048,95.78313253012048,2015-07-11_10-39-10,87.37951807228916,77.37951807228916,107.37951807228916,97.37951807228916,2015-07-14_10-33-00,90.0,70.0,90.0,95.0,2015-07-15_10-31-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,KK99,6,88.79518072289157,93.79518072289157,88.79518072289157,88.79518072289157,2015-07-11_13-42-58,96.77710843373494,71.77710843373494,101.77710843373494,96.77710843373494,2015-07-12_18-08-02,103.94578313253012,83.94578313253012,103.94578313253012,88.94578313253012,2015-07-13_17-09-12,95.75301204819277,70.75301204819277,105.75301204819277,90.75301204819277,2015-07-14_17-09-58,107.74096385542168,92.74096385542168,107.74096385542168,102.74096385542168,2015-07-15_12-45-46,89.63855421686748,89.63855421686748,99.63855421686748,109.63855421686748,2015-07-16_12-35-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,WT01,2,82.04819277108433,52.04819277108434,92.04819277108433,102.04819277108433,2015-07-11_19-02-07,110.0,75.0,100.0,110.0,2015-07-13_17-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,HK00,3,79.87951807228916,59.87951807228916,99.87951807228916,89.87951807228916,2015-07-12_17-13-38,88.22289156626506,83.22289156626506,103.22289156626506,98.22289156626506,2015-07-13_20-43-37,90.66265060240964,85.66265060240964,105.66265060240964,100.66265060240964,2015-07-14_10-03-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,EW37,4,65.60240963855422,50.60240963855422,85.60240963855422,70.60240963855422,2015-07-12_13-18-57,79.93975903614458,69.93975903614458,94.93975903614458,79.93975903614458,2015-07-13_19-42-07,69.63855421686748,79.63855421686748,89.63855421686748,89.63855421686748,2015-07-14_19-43-15,80.0,60.0,100.0,90.0,2015-07-16_18-53-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BK05,3,90.87349397590361,60.873493975903614,100.87349397590361,75.87349397590361,2015-07-13_12-30-44,86.47590361445783,46.475903614457835,66.47590361445783,86.47590361445783,2015-07-14_12-15-50,95.0,65.0,90.0,90.0,2015-07-15_11-31-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,CM1,12,21.76,21.76,46.76,36.76,2016-10-25_16-46-15,38.04,13.04,53.04,38.04,2016-10-27_12-42-37,19.48,24.48,69.48,69.48,2016-10-28_10-53-15,24.52,39.52,54.52,54.52,2016-11-08_14-25-56,16.32,46.32,71.32,56.32,2016-11-12_11-25-36,17.08,47.08,72.08,57.08,2016-11-15_12-48-36,47.52,17.52,72.52,72.52,2016-11-18_16-01-57,59.120000000000005,69.12,69.12,74.12,2016-11-22_13-56-58,54.96,44.96,74.96000000000001,74.96000000000001,2016-11-24_14-43-17,61.2,61.2,76.2,76.2,2016-11-25_14-49-12,57.2,47.2,77.2,77.2,2016-11-28_11-41-46,78.52,58.519999999999996,78.52,78.52,2016-11-29_14-23-48
30,CM3,10,37.88,67.88,67.88,67.88,2016-11-09_17-35-05,65.08,70.08,70.08,70.08,2016-11-10_17-31-37,65.92,60.92,70.92,70.92,2016-11-16_17-26-11,72.44,67.44,72.44,72.44,2016-11-21_08-35-55,74.56,74.56,74.56,74.56,2016-12-05_15-59-28,76.36,76.36,76.36,76.36,2016-12-07_17-15-33,77.84,72.84,77.84,77.84,2016-12-08_17-33-09,79.76,79.76,79.76,79.76,2016-12-15_17-06-34,79.8,79.8,79.8,79.8,2016-12-15_17-18-31,80.48,80.48,80.48,80.48,2016-12-15_17-27-04,,,,,,,,,,
31,CM4,5,21.96,16.96,36.96,51.96,2016-11-22_11-49-36,39.0,24.0,69.0,69.0,2016-11-24_10-39-49,65.24,60.24,70.24,60.24,2016-11-25_09-37-17,71.68,56.68,71.68,66.68,2016-11-29_16-49-09,42.64,37.64,72.64,72.64,2016-12-05_13-38-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CM5,12,51.88,16.88,66.88,51.88,2016-11-22_13-10-00,54.0,34.0,64.0,69.0,2016-11-23_10-46-55,39.8,39.8,39.8,39.8,2016-11-24_12-42-06,50.4,25.4,70.4,70.4,2016-11-25_10-39-37,52.16,57.16,72.16,72.16,2016-11-26_11-57-10,72.64,72.64,72.64,72.64,2016-11-29_12-55-11,74.36,74.36,74.36,74.36,2016-12-03_12-12-51,30.48,75.48,75.48,75.48,2016-12-05_12-33-23,76.84,76.84,76.84,76.84,2016-12-06_12-09-24,78.16,78.16,78.16,78.16,2016-12-07_11-39-03,64.72,79.72,79.72,79.72,2016-12-08_12-34-51,79.76,79.76,79.76,79.76,2016-12-12_12-28-45
33,CM2,3,37.36,32.36,67.36,62.36,2016-12-30_11-41-52,69.16,24.16,69.16,59.16,2017-01-02_11-38-38,65.56,65.56,70.56,70.56,2017-01-03_16-20-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
